Size,Diameter,Amplitude,Width,Frequency,Image,Validity
86.8,54.9,84,50.0,60,Screenshot 2025-04-18 151328.png,Valid
26.6,37.0,69.0,50.0,60,Screenshot 2025-04-18 151248.png,Valid
34.4,40.3,34,50.0,60,Screenshot 2025-04-18 151048.png,Valid
55.5,47.3,75.0,50.0,60,Screenshot 2025-04-18 151302.png,Valid
33.9,40.1,41,50.0,60,Screenshot 2025-04-18 151115.png,Valid
64.6,49.8,77,50.0,60,Screenshot 2025-04-18 151307.png,Valid
33.1,39.8,39,50.0,60,Screenshot 2025-04-18 151111.png,Valid
107.4,59.0,79.0,50.0,60,Screenshot 2025-04-18 151312.png,Valid
34.3,40.3,36.0,50.0,60,Screenshot 2025-04-18 151058.png,Valid
86.3,54.8,78.0,50.0,60,Screenshot 2025-04-18 151310.png,Valid
32.7,39.7,37,50.0,60,Screenshot 2025-04-18 151106.png,Valid
33.5,40.0,40.0,50.0,60,Screenshot 2025-04-18 151113.png,Valid
48.8,45.3,89.0,50.0,60,Screenshot 2025-04-18 151339.png,Valid
63.0,49.4,76,50.0,60,Screenshot 2025-04-18 151305.png,Valid
48.3,45.2,74.0,50.0,60,Screenshot 2025-04-18 151259.png,Valid
34.0,40.2,26.0,50.0,60,Screenshot 2025-04-18 151028.png,Invalid
57.3,47.8,59.0,50.0,60,Screenshot 2025-04-18 151217.png,Valid
47.1,44.8,56.0,50.0,60,Screenshot 2025-04-18 151203.png,Valid
88.0,55.2,62.0,50.0,60,Screenshot 2025-04-18 151229.png,Valid
48.8,45.3,55.0,50.0,60,Screenshot 2025-04-18 151201.png,Valid
57.3,47.8,58.0,50.0,60,Screenshot 2025-04-18 151214.png,Invalid
114.5,60.2,66,50.0,60,Screenshot 2025-04-18 151238.png,Valid
51.3,46.1,54.0,50.0,60,Screenshot 2025-04-18 151159.png,Valid
47.2,44.8,57.0,50.0,60,Screenshot 2025-04-18 151206.png,Valid
29.7,38.4,30.0,62.0,60,Screenshot 2025-04-18 151949.png,Valid
56.4,47.6,30.0,70.0,60,Screenshot 2025-04-18 151839.png,Valid
39.4,42.2,30.0,60.0,60,Screenshot 2025-04-18 151903.png,Valid
34.2,40.3,30.0,52.0,60,Screenshot 2025-04-18 151916.png,Valid
46.8,44.7,30.0,58.0,60,Screenshot 2025-04-18 151928.png,Valid
5.1,21.3,30.0,70.0,60,Screenshot 2025-04-18 151901.png,Valid
33.1,39.8,30.0,51,60,Screenshot 2025-04-18 151913.png,Valid
40.7,42.7,30.0,55.0,60,Screenshot 2025-04-18 151922.png,Valid
38.9,42.0,30.0,60.0,60,Screenshot 2025-04-18 151937.png,Valid
43.4,43.6,30.0,56.0,60,Screenshot 2025-04-18 151923.png,Valid
68.7,50.8,30.0,90.0,60,Screenshot 2025-04-18 151855.png,Valid
37.9,41.7,30.0,54,60,Screenshot 2025-04-18 151920.png,Valid
35.6,40.8,30.0,53.0,60,Screenshot 2025-04-18 151918.png,Valid
45.6,44.3,30.0,59.0,60,Screenshot 2025-04-18 151930.png,Valid
33.7,40.1,30.0,80.0,60,Screenshot 2025-04-18 151844.png,Valid
35.6,40.8,30.0,80.0,60,Screenshot 2025-04-18 151847.png,Valid
45.7,44.4,30.0,57.0,60,Screenshot 2025-04-18 151926.png,Valid
41.4,42.9,30.0,60.0,60,Screenshot 2025-04-18 151823.png,Valid
42.2,43.2,30.0,60.0,60,Screenshot 2025-04-18 151830.png,Valid
20.7,34.1,30.0,40.0,60,Screenshot 2025-04-18 151819.png,Valid
35.8,40.9,30.0,61,60,Screenshot 2025-04-18 151945.png,Valid
